hash,obfuscated,time
c54ac9c7cfaa49528a7c4c0b554a0ed8247fcae1aa84e649b33010de4e0757f9.apk,True,17.72
db16c0499e6bf79980e1020d62524979c5c535f4461d3365a58a2f95333797e4.apk,True,45.64
fd7bcf145c2405e5fd7a2b2a1b667654edcbb50acc9256ef946d36e84eb0cc6f.apk,True,14.13
26730cae71e2bfbaf5479ef9686aca1550c238377771caf8c4c79bac24170604.apk,True,22.54
295ddafd45c0e7e0d25aaf49877aa00f044a10bea6ccddbb40da123b515dbeee.apk,True,10.20
7b5ace423af4a9788d10e9236fb2d7250d346de9bc3ba1ac05aac7e316df0936.apk,True,16.58
be6ecf2da8c2e7d5b66825b64351121763df7c74ec5058f86bd34e1e3f7b1f22.apk,True,26.89
eea09e98a8cdadd59464653a5dfceb6462c647d700235f307dd381b55bb581a5.apk,True,50.46
4addd3871e8283971bf818d3924cd252f77aefd73584c020a8e189114e30ec4e.apk,True,18.30
a6f80d3520da53ed89d54ffe92542c60df8efb75b47f06a223d3ee24ed45b108.apk,True,17.33
19631521b16693d9763a88ae2dd9f74fee49e5d141a3d9ca87f9099f922febc8.apk,True,18.10
62597036561d6b54c2108b809d10d0b78319bc238b3408ecc119839d005de4d5.apk,True,26.50
359ddac0bd0495c75779005f5c0b366b242e46552cc254c484bfd6f798b1b4d2.apk,True,17.15
1b04b4988c84689ef994b748ab38370d5d1b17d4eebc62ab7a84c745da4fa733.apk,True,21.90
c78b45cdeb94e836a9834fb97f1053d7c3df4150ddcf9b3142b5d68eac1c8ebf.apk,True,24.92
59568adef727bb0f57f3e1cd86aeaf05e6702ec4527e8c5d72052b59d2ecf85a.apk,True,24.76
66d758aa79e5afbbaafe626bd22a09511e9833db7831af15a41ff032f6482b87.apk,True,20.12
d4c216431c127b1c2ef1f472ddd34b60a16376a439b127003a0a9947e1c23597.apk,True,24.36
098e034c00a58a77a5e7044a7d7d6bc5cbadf1d291aa3a5412ae9413a8898c10.apk,True,21.86
7673bc1aa4f48e7dc167dff5a07ab0740faed2cf3c10315661427accc4657be2.apk,True,7.83
d53bdfb666024c4c92f90f58f2c9e8c2d6c046d80f5115d49ad5aa970488576e.apk,True,16.82
5ddb7eb861aa88a5faa76e37163041e1d53ae410a4f1be825604c3e66b7066d9.apk,True,9.08
f99b2a743a04f485c925ede0684c7e59dfa720b2c5e8e9d9a38fe8df69c25285.apk,True,19.01
01d620ea7567b1693c8e7d6ff93ce63da1f8a83df3cd941a4ff53e4cc303328d.apk,True,47.75
f7ef57d800a2f895397031a78f73f6b2a0e63b337488f8b582a2554eede8070d.apk,True,24.67
53d43f63511c2461a755e07863874cd8d3790bc200ba0e1e385fc1f8ef4a10c8.apk,True,18.01
a6fb153afde8be9b2ad5a72d83cdf23a1e592a67fb61d4ad4a63a26bbe8e7806.apk,True,56.61
f9d16860a49434c1a6a02373fbb0acb70ab6c09598ee54b8c60c55ec2d9521b1.apk,True,10.91
fa87e440b5992341e88b97f58f97c664a4d33d15c3c751e5ecf741a05104c467.apk,True,23.10
ce9a82ab18942f50d39ad7db63d693334243a85fa25f3963bc04e5f41a46a32c.apk,True,22.56
29b2a3f51f95f2c0e8a6594bc0510d33f033b054c7f0a813161dc0562ed329d1.apk,True,31.48
eff293a5cd642fa7beb674d2cec5d5da24268dae202a684780e8824591680905.apk,True,19.36
89a12cfebfe5ae1a3986b7b5d7b92987f188670207c1061d23fcbbc8ed91b345.apk,True,9.34
1294621cdf588674afc36ca137f4ad9d04a9a50a9c3401f6d4c4dc11d446d84d.apk,True,25.92
d9581b379af63ecd2411c046800b5f8bda0e2e396138ac1a47d27becfe1ee278.apk,True,26.37
a551387a371a31efacd8c195514494e25505c81d2c6c0e0a22a9e2050ae68e4d.apk,True,21.32
8b2292554162e38e6743fb1e55ae999368a81b877ed89dab83810d3b48f647d5.apk,True,18.07
75855c4119cd4f5ea8c895ad302340a08b8d8f0b367652450c9f7ad620d85016.apk,True,4.14
0df0366809a1dda13f3cc8c7c52b8b6e1f240a2351d93a17ea9e20d298fba6b0.apk,True,16.33
7c9ed6f83df24461510f1a44a962e92676958bc5563c569f3f2b9b21d6ba3d79.apk,True,50.29
341dad887ec40c5360dcf4b0a96adeb54ae42b76713545c2f6b498426ab3881c.apk,True,18.30
fa94961272034e1bd88e981ada99f2af0b502494cf754d808c76bc1dd115e57e.apk,True,9.59
fead335d5a7865635c75c3b9eee5fb7cdf0c6365d7d132ba5de0558b4a66d9bf.apk,True,19.37
